X,Y,bemerkung,befundtyp,geometry_p,befundnumm,flaeche_id,befundart,befundtyp2,befund_id,kultur,abschnitt,epoche,bs_AZ,BOARTSTDKL,Bodenklass,BodTyp_T,AEPOT_K,bofu_AZ,reclass_ex,dgm10doarf,hoehe_uebe,neig20,X,Y
4500839.7995117381,5733424.6367,,Grube,3737,1374,520000,Siedlung,Grube,16949,,spaet,Bronzezeit,89.00000,"Lehm; Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,8.00000,84.14326,1.15374,0.47999,4500839.799511738100000,5733424.636699998800000
4500839.7995117381,5733424.6367,,Grube,3737,1374,520000,Siedlung,Grube,16949,,,Eisenzeit,89.00000,"Lehm; Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,8.00000,84.14326,1.15374,0.47999,4500839.799511738100000,5733424.636699998800000
4500636.5550008621,5733295.8554499997,,Graben,3738,99,520000,unklar,Graben,16950,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.58313,1.32831,0.31437,4500636.555000862100000,5733295.855449999700000
4500634.3621557569,5733296.2639,,Pfostengrube,3739,98,520000,Siedlung,Pfostengrube,16951,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,3.00000,85.56789,1.29712,0.31437,4500634.362155756900000,5733296.263899999700000
4500642.0212101713,5733290.6795,,Grube,3740,91,520000,Siedlung,Grube,16952,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.55270,1.24025,0.31437,4500642.021210171300000,5733290.679499999600000
4500643.9911123756,5733290.0761,,Pfostengrube,3741,90,520000,Siedlung,Pfostengrube,16953,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.55270,1.24025,0.31437,4500643.991112375600000,5733290.076100000200000
4500634.0268522762,5733292.282,,Grube,3742,93,520000,Siedlung,Grube,16954,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,8.00000,85.52863,1.20087,0.31437,4500634.026852276200000,5733292.281999999700000
4500631.6399433538,5733293.5046,,Pfostengrube,3743,92,520000,Siedlung,Pfostengrube,16955,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,8.00000,85.52863,1.20087,0.31437,4500631.639943353800000,5733293.504599999600000
4500632.8144113319,5733298.035499999,,Grube,3744,95,520000,Siedlung,Grube,16956,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,3.00000,85.56789,1.29712,0.31437,4500632.814411331900000,5733298.035499999300000
4500633.5287377406,5733298.593249999,,Pfostengrube,3745,94,520000,Siedlung,Pfostengrube,16957,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,3.00000,85.56789,1.29712,0.31437,4500633.528737740600000,5733298.593249999900000
4500629.8651375007,5733294.918099999,,Pfostengrube,3746,97,520000,Siedlung,Pfostengrube,16958,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,8.00000,85.52863,1.20087,0.31437,4500629.865137500700000,5733294.918099999400000
4500634.0069684424,5733297.8124499992,,Grube,3747,96,520000,Siedlung,Grube,16959,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,3.00000,85.56789,1.29712,0.31437,4500634.006968442400000,5733297.812449998200000
4500701.0145155918,5733296.3713,,Pfostengrube,3748,1621,520000,Siedlung,Pfostengrube,16960,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,6.00000,85.61191,1.46043,0.37863,4500701.014515591800000,5733296.371299999800000
4491523.7765901145,5738344.4123500027,,Materialentnahmegrube,824,10265,50000,Siedlung,Materialentnahmegrube,7648,Saalemündungsgruppe,spaet,Bronzezeit,99.00000,"Lehm; Lehm ber ...",Schwarzerden,Gley-Tschernosem,4.00000,92,4.00000,70.73454,1.54279,0.71293,4491523.776590114500000,5738344.412350002700000
4500714.0012867386,5733270.5998,,Grube,3749,1620,520000,Siedlung,Grube,16961,,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.53488,1.25703,0.43211,4500714.001286738600000,5733270.599800000000000
4500714.0012867386,5733270.5998,,Grube,3749,1620,520000,Siedlung,Grube,16961,,,Eisenzeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.53488,1.25703,0.43211,4500714.001286738600000,5733270.599800000000000
4500609.8839432746,5733403.345449999,,Grube,3750,1626,520000,Siedlung,Grube,16962,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.24009,1.47298,0.92348,4500609.883943274600000,5733403.345449999000000
4500609.493558351,5733402.5690499991,,sonstiger Befund,3751,1625,520000,unklar,sonstiger Befund,16963,Schnurkeramik,spaet,Neolithikum,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.24009,1.47298,0.92348,4500609.493558351000000,5733402.569049998200000
4500608.1903131781,5733403.729499999,,Ofen,3752,1624,520000,Siedlung,Ofen,16964,Schnurkeramik,spaet,Neolithikum,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,2.00000,85.24009,1.47298,0.92348,4500608.190313178100000,5733403.729499999400000
4500844.8040461801,5733414.243449999,,Pfostengrube,3753,1377,520000,Siedlung,Pfostengrube,16965,,,undat.,89.00000,"Lehm; Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,8.00000,84.13902,1.09163,0.36725,4500844.804046180100000,5733414.243449999000000
