geometry_p-key,befundnummer,befund_id,flaeche_id,befundtyp,befundart,epoche,abschnitt,kultur,dgm10doarf,Hoehe-ueber-tiefenlinie,neigung,az,aepot,bodenklasse,bodentyp,area,X,Y
3937,360,17149,520000,Pfostengrube,Siedlung,undat.,,,"84,44714","0,74863","0,78100",81,3,Stauwasserbden,Humuspseudogley,"0,191","4500761,56000","5733351,26200"
3938,361,17150,520000,Pfostengrube,Siedlung,undat.,,,"84,44714","0,74863","0,78100",81,3,Stauwasserbden,Humuspseudogley,"0,107","4500760,95500","5733350,39500"
3939,380,17151,520000,Grube,Siedlung,undat.,,,"84,32957","0,78351","0,68982",81,3,Stauwasserbden,Humuspseudogley,"0,771","4500768,31400","5733363,69500"
3940,381,17152,520000,Grube,Siedlung,undat.,,,"84,37408","0,79700","0,68982",81,3,Stauwasserbden,Humuspseudogley,"1,137","4500764,57700","5733362,56400"
3941,382,17153,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,26114","0,62212","0,76914",81,3,Stauwasserbden,Humuspseudogley,"11,076","4500782,07100","5733345,16400"
3941,382,17153,520000,Grube,Siedlung,Eisenzeit,,,"84,26114","0,62212","0,76914",81,3,Stauwasserbden,Humuspseudogley,"11,076","4500782,07100","5733345,16400"
3942,384,17154,520000,Pfostengrube,Siedlung,undat.,,,"84,26856","0,56452","0,76914",81,3,Stauwasserbden,Humuspseudogley,"0,109","4500784,03500","5733343,19400"
3943,386,17155,520000,Pfostengrube,Siedlung,undat.,,,"84,26856","0,56452","0,76914",81,3,Stauwasserbden,Humuspseudogley,"0,162","4500782,68400","5733342,32700"
3944,387,17156,520000,Grube,Siedlung,undat.,,,"84,26856","0,56452","0,76914",81,3,Stauwasserbden,Humuspseudogley,"0,225","4500783,57600","5733341,97600"
3945,388,17157,520000,Pfostengrube,Siedlung,undat.,,,"84,26856","0,56452","0,76914",81,3,Stauwasserbden,Humuspseudogley,"0,275","4500783,61100","5733341,07000"
